ADMIT_SCORE_NO,ODI.prob.mcid,ODI.prob.pain,NECK.prob.mcid,NECK.prob.pain,KNEE.prob.mcid,KNEE.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,DASH.prob.mcid,DASH.prob.pain
38,-0.9933575615,0.7312275414,-0.8784407639,0.9990455828,1.750940938,-0.2880326948,1.208361584,-0.4956888142,-1.356537654,0.4162224687
39,-1.01949855,0.7504703715,-0.9015576261,1.025336256,1.797018331,-0.2956125026,1.240160573,-0.5087332567,-1.392236013,0.4271756915
40,-1.045639538,0.7697132015,-0.9246744883,1.051626929,1.843095724,-0.3031923103,1.271959562,-0.5217776992,-1.427934373,0.4381289144
41,-1.071780527,0.7889560315,-0.9477913506,1.077917602,1.889173117,-0.3107721181,1.303758552,-0.5348221417,-1.463632732,0.4490821372
42,-1.097921515,0.8081988616,-0.9709082128,1.104208276,1.935250511,-0.3183519258,1.335557541,-0.5478665842,-1.499331091,0.4600353601
43,-1.124062504,0.8274416916,-0.994025075,1.130498949,1.981327904,-0.3259317336,1.36735653,-0.5609110266,-1.535029451,0.470988583
44,-1.150203492,0.8466845216,-1.017141937,1.156789622,2.027405297,-0.3335115414,1.399155519,-0.5739554691,-1.57072781,0.4819418058
45,-1.176344481,0.8659273517,-1.040258799,1.183080295,2.07348269,-0.3410913491,1.430954508,-0.5869999116,-1.606426169,0.4928950287
46,-1.202485469,0.8851701817,-1.063375662,1.209370969,2.119560083,-0.3486711569,1.462753497,-0.6000443541,-1.642124528,0.5038482515
47,-1.228626458,0.9044130117,-1.086492524,1.235661642,2.165637476,-0.3562509646,1.494552486,-0.6130887966,-1.677822888,0.5148014744
48,-1.254767446,0.9236558418,-1.109609386,1.261952315,2.211714869,-0.3638307724,1.526351475,-0.626133239,-1.713521247,0.5257546973
49,-1.280908435,0.9428986718,-1.132726248,1.288242988,2.257792262,-0.3714105801,1.558150464,-0.6391776815,-1.749219606,0.5367079201
50,-1.307049423,0.9621415019,-1.15584311,1.314533662,2.303869655,-0.3789903879,1.589949453,-0.652222124,-1.784917966,0.547661143
51,-1.333190411,0.9813843319,-1.178959973,1.340824335,2.349947048,-0.3865701957,1.621748442,-0.6652665665,-1.820616325,0.5586143658
52,-1.3593314,1.000627162,-1.202076835,1.367115008,2.396024442,-0.3941500034,1.653547431,-0.678311009,-1.856314684,0.5695675887
53,-1.385472388,1.019869992,-1.225193697,1.393405681,2.442101835,-0.4017298112,1.68534642,-0.6913554514,-1.892013044,0.5805208115
54,-1.411613377,1.039112822,-1.248310559,1.419696355,2.488179228,-0.4093096189,1.717145409,-0.7043998939,-1.927711403,0.5914740344
55,-1.437754365,1.058355652,-1.271427421,1.445987028,2.534256621,-0.4168894267,1.748944398,-0.7174443364,-1.963409762,0.6024272573
56,-1.463895354,1.077598482,-1.294544284,1.472277701,2.580334014,-0.4244692345,1.780743387,-0.7304887789,-1.999108122,0.6133804801
57,-1.490036342,1.096841312,-1.317661146,1.498568374,2.626411407,-0.4320490422,1.812542377,-0.7435332214,-2.034806481,0.624333703
58,-1.516177331,1.116084142,-1.340778008,1.524859047,2.6724888,-0.43962885,1.844341366,-0.7565776638,-2.07050484,0.6352869258
59,-1.542318319,1.135326972,-1.36389487,1.551149721,2.718566193,-0.4472086577,1.876140355,-0.7696221063,-2.1062032,0.6462401487
60,-1.568459308,1.154569802,-1.387011733,1.577440394,2.764643586,-0.4547884655,1.907939344,-0.7826665488,-2.141901559,0.6571933716
61,-1.594600296,1.173812632,-1.410128595,1.603731067,2.81072098,-0.4623682732,1.939738333,-0.7957109913,-2.177599918,0.6681465944
62,-1.620741285,1.193055462,-1.433245457,1.63002174,2.856798373,-0.469948081,1.971537322,-0.8087554338,-2.213298278,0.6790998173
63,-1.646882273,1.212298292,-1.456362319,1.656312414,2.902875766,-0.4775278888,2.003336311,-0.8217998763,-2.248996637,0.6900530401
64,-1.673023261,1.231541122,-1.479479181,1.682603087,2.948953159,-0.4851076965,2.0351353,-0.8348443187,-2.284694996,0.701006263
65,-1.69916425,1.250783952,-1.502596044,1.70889376,2.995030552,-0.4926875043,2.066934289,-0.8478887612,-2.320393355,0.7119594859
66,-1.725305238,1.270026782,-1.525712906,1.735184433,3.041107945,-0.500267312,2.098733278,-0.8609332037,-2.356091715,0.7229127087
67,-1.751446227,1.289269612,-1.548829768,1.761475107,3.087185338,-0.5078471198,2.130532267,-0.8739776462,-2.391790074,0.7338659316
68,-1.777587215,1.308512443,-1.57194663,1.78776578,3.133262731,-0.5154269275,2.162331256,-0.8870220887,-2.427488433,0.7448191544
69,-1.803728204,1.327755273,-1.595063492,1.814056453,3.179340124,-0.5230067353,2.194130245,-0.9000665311,-2.463186793,0.7557723773
70,-1.829869192,1.346998103,-1.618180355,1.840347126,3.225417518,-0.5305865431,2.225929234,-0.9131109736,-2.498885152,0.7667256002
71,-1.856010181,1.366240933,-1.641297217,1.866637799,3.271494911,-0.5381663508,2.257728223,-0.9261554161,-2.534583511,0.777678823
72,-1.882151169,1.385483763,-1.664414079,1.892928473,3.317572304,-0.5457461586,2.289527212,-0.9391998586,-2.570281871,0.7886320459
73,-1.908292158,1.404726593,-1.687530941,1.919219146,3.363649697,-0.5533259663,2.321326201,-0.9522443011,-2.60598023,0.7995852687
74,-1.934433146,1.423969423,-1.710647803,1.945509819,3.40972709,-0.5609057741,2.353125191,-0.9652887435,-2.641678589,0.8105384916
75,-1.960574135,1.443212253,-1.733764666,1.971800492,3.455804483,-0.5684855819,2.38492418,-0.978333186,-2.677376949,0.8214917145
76,-1.986715123,1.462455083,-1.756881528,1.998091166,3.501881876,-0.5760653896,2.416723169,-0.9913776285,-2.713075308,0.8324449373
77,-2.012856111,1.481697913,-1.77999839,2.024381839,3.547959269,-0.5836451974,2.448522158,-1.004422071,-2.748773667,0.8433981602
78,-2.0389971,1.500940743,-1.803115252,2.050672512,3.594036662,-0.5912250051,2.480321147,-1.017466513,-2.784472027,0.854351383
79,-2.065138088,1.520183573,-1.826232114,2.076963185,3.640114055,-0.5988048129,2.512120136,-1.030510956,-2.820170386,0.8653046059
80,-2.091279077,1.539426403,-1.849348977,2.103253859,3.686191449,-0.6063846206,2.543919125,-1.043555398,-2.855868745,0.8762578288
81,-2.117420065,1.558669233,-1.872465839,2.129544532,3.732268842,-0.6139644284,2.575718114,-1.056599841,-2.891567105,0.8872110516
82,-2.143561054,1.577912063,-1.895582701,2.155835205,3.778346235,-0.6215442362,2.607517103,-1.069644283,-2.927265464,0.8981642745
83,-2.169702042,1.597154893,-1.918699563,2.182125878,3.824423628,-0.6291240439,2.639316092,-1.082688726,-2.962963823,0.9091174973
84,-2.195843031,1.616397723,-1.941816426,2.208416551,3.870501021,-0.6367038517,2.671115081,-1.095733168,-2.998662182,0.9200707202
85,-2.221984019,1.635640553,-1.964933288,2.234707225,3.916578414,-0.6442836594,2.70291407,-1.108777611,-3.034360542,0.931023943
86,-2.248125008,1.654883383,-1.98805015,2.260997898,3.962655807,-0.6518634672,2.734713059,-1.121822053,-3.070058901,0.9419771659
87,-2.274265996,1.674126213,-2.011167012,2.287288571,4.0087332,-0.659443275,2.766512048,-1.134866496,-3.10575726,0.9529303888
88,-2.300406985,1.693369043,-2.034283874,2.313579244,4.054810593,-0.6670230827,2.798311037,-1.147910938,-3.14145562,0.9638836116
89,-2.326547973,1.712611873,-2.057400737,2.339869918,4.100887987,-0.6746028905,2.830110026,-1.160955381,-3.177153979,0.9748368345
90,-2.352688961,1.731854703,-2.080517599,2.366160591,4.14696538,-0.6821826982,2.861909016,-1.173999823,-3.212852338,0.9857900573
91,-2.37882995,1.751097533,-2.103634461,2.392451264,4.193042773,-0.689762506,2.893708005,-1.187044266,-3.248550698,0.9967432802
92,-2.404970938,1.770340363,-2.126751323,2.418741937,4.239120166,-0.6973423137,2.925506994,-1.200088708,-3.284249057,1.007696503
93,-2.431111927,1.789583193,-2.149868185,2.445032611,4.285197559,-0.7049221215,2.957305983,-1.213133151,-3.319947416,1.018649726
94,-2.457252915,1.808826023,-2.172985048,2.471323284,4.331274952,-0.7125019293,2.989104972,-1.226177593,-3.355645776,1.029602949
95,-2.483393904,1.828068854,-2.19610191,2.497613957,4.377352345,-0.720081737,3.020903961,-1.239222036,-3.391344135,1.040556172
96,-2.509534892,1.847311684,-2.219218772,2.52390463,4.423429738,-0.7276615448,3.05270295,-1.252266478,-3.427042494,1.051509395
97,-2.535675881,1.866554514,-2.242335634,2.550195303,4.469507131,-0.7352413525,3.084501939,-1.265310921,-3.462740854,1.062462617
98,-2.561816869,1.885797344,-2.265452496,2.576485977,4.515584525,-0.7428211603,3.116300928,-1.278355363,-3.498439213,1.07341584
99,-2.587957858,1.905040174,-2.288569359,2.60277665,4.561661918,-0.750400968,3.148099917,-1.291399806,-3.534137572,1.084369063
100,-2.614098846,1.924283004,-2.311686221,2.629067323,4.607739311,-0.7579807758,3.179898906,-1.304444248,-3.569835931,1.095322286
