Age.num,MDQ.prob.mcid,MDQ.prob.pain,NDI.prob.mcid,NDI.prob.pain,KOS.prob.mcid,KOS.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,QDASH.prob.mcid,QDASH.prob.pain
30,1.067660289,0.1870966095,0.7496922131,0.3504824686,1.367473067,0.9697995284,2.018310417,0.7409550409,0.8773863914,0.5119022793
31,1.07795325,0.1889003462,0.7569197486,0.3538613545,1.380656424,0.979149046,2.037768283,0.7480983442,0.8858449844,0.5168373604
32,1.087919394,0.1906468117,0.7639177994,0.357132956,1.39342119,0.9882017028,2.056608333,0.7550148373,0.8940350047,0.5216157456
33,1.097578839,0.1923395312,0.770700491,0.3603038766,1.405793132,0.9969757717,2.074868596,0.761718481,0.9019729841,0.5262470799
34,1.106949898,0.1939817141,0.7772806836,0.3633801286,1.417795706,1.005487889,2.092583694,0.7682219858,0.9096739731,0.5307401446
35,1.116049294,0.1955762907,0.783670119,0.3663672012,1.429450329,1.013753242,2.109785239,0.7745369565,0.9171517133,0.535102957
36,1.124892335,0.1971259437,0.789879546,0.3692701196,1.44077661,1.021785738,2.126502167,0.7806740167,0.9244187846,0.5393428569
37,1.13349307,0.198633135,0.7959188302,0.3720934959,1.451792542,1.029598137,2.14276104,0.786642917,0.9314867329,0.5434665803
38,1.141864424,0.2001001297,0.8017970475,0.3748415731,1.46251468,1.037202181,2.158586291,0.7924526275,0.9383661799,0.5474803245
39,1.150018316,0.2015290163,0.8075225664,0.3775182636,1.47295829,1.044608695,2.174000449,0.7981114192,0.9450669195,0.5513898038
40,1.157965758,0.2029217247,0.8131031198,0.3801271824,1.483137476,1.051827681,2.189024333,0.8036269349,0.9515980019,0.5552002982
41,1.165716946,0.2042800416,0.8185458675,0.3826716768,1.493065298,1.058868403,2.203677219,0.809006251,0.9579678063,0.5589166967
42,1.173281341,0.2056056249,0.8238574519,0.3851548521,1.502753872,1.065739452,2.217976989,0.8142559323,0.9641841065,0.5625435346
43,1.180667733,0.206900015,0.8290440461,0.3875795943,1.512214459,1.072448814,2.231940262,0.8193820802,0.9702541271,0.5660850272
44,1.187884308,0.2081646464,0.8341113976,0.3899485904,1.521457541,1.079003924,2.245582512,0.824390375,0.9761845946,0.5695450988
45,1.194938699,0.2094008566,0.8390648664,0.392264346,1.530492896,1.085411716,2.258918168,0.8292861144,0.9819817818,0.5729274095
46,1.201838035,0.2106098952,0.8439094589,0.3945292018,1.539329655,1.091678666,2.271960709,0.8340742463,0.9876515479,0.5762353776
47,1.208588988,0.211792931,0.8486498584,0.3967453471,1.547976362,1.097810832,2.284722743,0.8387593996,0.993199374,0.5794722011
48,1.215197804,0.2129510588,0.8532904527,0.3989148334,1.556441019,1.103813891,2.297216083,0.8433459107,0.9986303951,0.5826408758
49,1.221670346,0.2140853061,0.8578353577,0.4010395847,1.564731135,1.109693166,2.30945181,0.8478378479,1.003949428,0.5857442123
50,1.228012121,0.2151966377,0.8622884401,0.4031214088,1.572853762,1.115453659,2.321440333,0.8522390325,1.009160999,0.5887848509
51,1.234228308,0.2162859612,0.8666533369,0.405162006,1.580815534,1.121100076,2.333191445,0.8565530593,1.014269363,0.5917652748
52,1.240323785,0.2173541315,0.870933473,0.4071629774,1.588622699,1.126636847,2.344714365,0.8607833132,1.01927853,0.5946878228
53,1.24630315,0.2184019545,0.8751320778,0.4091258327,1.596281148,1.132068149,2.356017787,0.864932986,1.024192278,0.5975546997
54,1.252170745,0.2194301908,0.8792521993,0.411051997,1.603796439,1.137397926,2.367109918,0.8690050902,1.029014175,0.600367987
55,1.257930671,0.2204395593,0.883296718,0.4129428168,1.611173827,1.142629903,2.377998512,0.8730024727,1.033747592,0.6031296515
56,1.26358681,0.2214307401,0.8872683585,0.4147995659,1.618418282,1.147767605,2.388690905,0.8769278263,1.038395717,0.6058415535
57,1.269142834,0.2224043768,0.8911697007,0.4166234505,1.625534509,1.152814369,2.399194041,0.880783701,1.04296157,0.6085054547
58,1.274602227,0.2233610799,0.8950031901,0.4184156137,1.63252697,1.157773359,2.409514505,0.8845725136,1.047448013,0.6111230249
59,1.279968292,0.2243014284,0.8987711466,0.4201771402,1.639399896,1.162647576,2.419658543,0.8882965569,1.051857761,0.613695848
60,1.285244167,0.2252259718,0.902475773,0.4219090598,1.646157305,1.167439869,2.429632084,0.8919580084,1.056193392,0.6162254284
61,1.290432834,0.2261352329,0.9061191631,0.4236123513,1.652803016,1.172152947,2.439440765,0.8955589372,1.060457357,0.6187131956
62,1.295537128,0.2270297086,0.9097033085,0.4252879457,1.659340662,1.176789387,2.449089949,0.8991013117,1.064651985,0.6211605096
63,1.30055975,0.227909872,0.9132301051,0.4269367295,1.665773701,1.18135164,2.458584739,0.9025870058,1.068779497,0.6235686648
64,1.305503273,0.228776174,0.9167013593,0.4285595471,1.672105428,1.185842043,2.467929999,0.9060178047,1.072842006,0.6259388947
65,1.310370148,0.2296290445,0.9201187934,0.4301572038,1.678338985,1.190262826,2.477130365,0.9093954109,1.076841527,0.6282723754
66,1.315162718,0.2304688935,0.9234840509,0.4317304678,1.68447737,1.194616112,2.486190262,0.9127214485,1.080779985,0.630570229
67,1.319883215,0.2312961127,0.9267987011,0.4332800727,1.690523444,1.198903933,2.495113915,0.9159974686,1.084659216,0.6328335272
68,1.324533777,0.2321110764,0.9300642435,0.4348067198,1.696479944,1.203128229,2.503905361,0.9192249533,1.088480974,0.6350632937
69,1.329116445,0.2329141424,0.9332821121,0.4363110792,1.702349484,1.207290854,2.512568459,0.9224053197,1.092246938,0.6372605078
70,1.333633173,0.233705653,0.9364536788,0.4377937923,1.708134567,1.211393583,2.521106905,0.9255399239,1.095958714,0.6394261062
71,1.338085832,0.2344859362,0.9395802573,0.4392554734,1.71383759,1.215438115,2.529524234,0.9286300641,1.099617839,0.6415609858
72,1.342476214,0.235255306,0.9426631059,0.4406967108,1.719460848,1.219426079,2.537823834,0.9316769842,1.103225786,0.643666006
73,1.346806037,0.2360140634,0.9457034311,0.4421180683,1.725006541,1.223359034,2.546008953,0.9346818764,1.106783966,0.6457419905
74,1.351076949,0.2367624973,0.9487023901,0.4435200871,1.73047678,1.227238478,2.554082706,0.9376458845,1.110293734,0.6477897294
75,1.355290531,0.2375008848,0.9516610934,0.4449032862,1.735873591,1.231065847,2.562048084,0.940570106,1.113756389,0.6498099811
76,1.359448303,0.238229492,0.9545806074,0.4462681643,1.741198919,1.234842522,2.569907957,0.943455595,1.117173181,0.6518034737
77,1.363551723,0.2389485747,0.9574619567,0.4476152003,1.746454632,1.238569826,2.577665084,0.9463033641,1.120545307,0.6537709068
78,1.367602195,0.2396583787,0.9603061263,0.4489448548,1.751642528,1.242249035,2.585322115,0.9491143867,1.12387392,0.6557129529
79,1.371601066,0.2403591403,0.9631140634,0.4502575705,1.756764335,1.245881374,2.592881603,0.9518895992,1.12716013,0.657630259
80,1.375549636,0.241051087,0.9658866796,0.4515537736,1.761821714,1.249468022,2.600346,0.9546299024,1.130405003,0.6595234474
81,1.379449155,0.2417344379,0.9686248525,0.4528338744,1.766816267,1.253010114,2.607717669,0.9573361637,1.133609565,0.6613931172
82,1.383300825,0.242409404,0.9713294274,0.454098268,1.771749536,1.256508743,2.614998885,0.9600092184,1.136774807,0.6632398458
83,1.387105807,0.2430761884,0.9740012187,0.4553473353,1.776623007,1.259964964,2.622191843,0.9626498718,1.139901682,0.6650641892
84,1.390865219,0.2437349872,0.9766410117,0.4565814433,1.78143811,1.263379792,2.629298655,0.9652588998,1.142991107,0.6668666837
85,1.394580141,0.2443859894,0.9792495639,0.4578009462,1.786196229,1.266754207,2.636321361,0.9678370509,1.146043971,0.6686478464
86,1.398251612,0.2450293773,0.981827606,0.4590061855,1.790898697,1.270089155,2.643261928,0.9703850476,1.149061128,0.6704081763
87,1.401880637,0.2456653271,0.9843758434,0.4601974911,1.795546799,1.273385547,2.650122256,0.972903587,1.152043404,0.6721481551
88,1.405468186,0.2462940087,0.9868949575,0.4613751816,1.800141779,1.276644265,2.656904178,0.9753933425,1.154991596,0.673868248
89,1.409015198,0.2469155864,0.9893856064,0.4625395644,1.804684837,1.279866161,2.663609467,0.9778549645,1.157906474,0.6755689044
90,1.412522577,0.247530219,0.9918484263,0.4636909372,1.809177134,1.283052057,2.670239834,0.9802890818,1.160788783,0.6772505586
91,1.4159912,0.2481380599,0.9942840321,0.4648295873,1.813619791,1.286202749,2.676796937,0.9826963023,1.163639242,0.6789136307
92,1.419421914,0.2487392576,0.9966930187,0.4659557929,1.818013893,1.289319007,2.683282375,0.9850772137,1.166458549,0.6805585267
93,1.422815538,0.2493339557,0.9990759618,0.4670698231,1.822360491,1.292401574,2.6896977,0.9874323851,1.169247376,0.6821856398
94,1.426172866,0.2499222933,1.001433418,0.4681719383,1.8266606,1.295451173,2.69604441,0.9897623671,1.172006375,0.6837953502
95,1.429494666,0.250504405,1.003765928,0.4692623907,1.830915204,1.2984685,2.702323958,0.9920676926,1.174736178,0.6853880263
96,1.432781683,0.2510804212,1.006074013,0.4703414245,1.835125257,1.301454231,2.70853775,0.9943488782,1.177437396,0.6869640249
97,1.436034636,0.2516504682,1.008358179,0.4714092765,1.839291682,1.304409022,2.714687149,0.9966064241,1.180110622,0.6885236916
98,1.439254225,0.2522146684,1.010618918,0.4724661759,1.843415373,1.307333506,2.720773477,0.9988408153,1.182756429,0.6900673614
99,1.442441127,0.2527731407,1.012856704,0.4735123452,1.847497198,1.3102283,2.726798013,1.001052522,1.185375375,0.6915953592
100,1.445596,0.253326,1.015072,0.474548,1.851538,1.313094,2.732762,1.003242,1.187968,0.693108
